seller_id,image,product_name,category,color,size,product_price,rent_price,desc
9725268d-cc08-4113-bcae-6f7a45d308a0,https://docs.google.com/spreadsheets/d/1OzBKFQlAhEyqaDcmTSdqgtQ0e1ft6m9cnHdhpPLYpBw/edit#gid=0,Basic Linen Kebaya Kutubaru (Long-Sleeve),Adat,Merah,M,Rp116.000,"Rp17.400,00","Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.
"
9725268d-cc08-4113-bcae-6f7a45d308a0,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/8/31/c66c7605-eb07-45d9-bfdf-909efce13a6c.jpg,Midi Dress Kebaya Wanita Modern Tunik Brukat Bahan Tille Full Furing,Adat,Merah,S,Rp195.800,"Rp29.370,00","Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.
"
9725268d-cc08-4113-bcae-6f7a45d308a0,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/12/10/7682c46f-0895-40a2-a6ed-396ee838458a.jpg,Kebaya Batik Encim Malia Lengan Pendek Meradelima Katun Putih,Adat,Putih,XL,Rp189.900,"Rp28.485,00","Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.
"
9725268d-cc08-4113-bcae-6f7a45d308a0,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/5/25/1b0cd9b8-346f-46c3-a7c9-492c56a26a51.jpg,Kebaya Kutubaru Clarris Lengan 7/8 Meradelima Katun Jepang Putih Pink,Adat,Putih,S,Rp219.900,"Rp32.985,00","Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.
"
9725268d-cc08-4113-bcae-6f7a45d308a0,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/5/7/4fb30c8f-87a5-4170-a04d-38f0243beb5b.jpg,Kebaya Kancing Panjang Motif Ayam Garis,Adat,Putih,M,Rp2.200.000,"Rp330.000,00","Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.
"
9725268d-cc08-4113-bcae-6f7a45d308a0,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/5/24/e1d4644a-2402-478c-a215-d9fd578d5326.jpg,Baju batik wanita merah putih lengan pendek / atasan kebaya modern,Adat,Putih,XL,Rp135.900,"Rp20.385,00","Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.
"
9725268d-cc08-4113-bcae-6f7a45d308a0,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/3/11/242eebc5-ed02-4bb7-9f5f-9d3c7401ab09.jpg,Kebaya kutubaru clara lengan panjang meradelima katun pink,Adat,Merah,S,Rp239.900,"Rp35.985,00","Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.
"
9725268d-cc08-4113-bcae-6f7a45d308a0,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/3/10/c0d97bce-5a2e-456f-8011-9fe9037de15c.jpg,Kebaya Batik Jumputan Lengan Pendek Meradelima Katun Biru,Adat,Biru,L,Rp189.900,"Rp28.485,00","Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.
"
9725268d-cc08-4113-bcae-6f7a45d308a0,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/10/5/c5e6bcaa-f847-4833-8d7a-642cb8c7d858.jpg,Kebaya Batik Encim Malia Lengan Pendek Meradelima Katun Hijau,Adat,Hijau,XL,Rp189.900,"Rp28.485,00","Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.
"
9725268d-cc08-4113-bcae-6f7a45d308a0,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/3/10/ef9db62c-fc5d-4d1c-adec-4f506ded986e.jpg,Baju Kebaya Encim Pekalongan Lengan Panjang Meradelima Katun Kuning,Adat,Kuning,L,Rp209.900,"Rp31.485,00","Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.
"
